name,startup_key,website_url,resolved_url,commercial_fetched_at,http_status,pricing_signal,customer_evidence_signal,enterprise_signal,careers_signal,security_signal,integrations_signal,developer_docs_signal,self_serve_signal,sales_motion_signal,commercial_signal_count,commercial_momentum_score,page_word_count,page_link_count,commercial_maturity_score,previous_commercial_maturity_score,previous_commercial_fetched_at,commercial_maturity_change
ChainSafe,chainsafe,https://chainsafe.io,https://chainsafe.io/,2026-08-17T06:52:17.165077+00:00,200,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,9.0,753.0,44.0,9.0,9.0,2026-08-10T07:38:17.619367+00:00,0.0
BuilderIO,builderio,https://builder.io,https://www.builder.io/,2026-08-17T06:52:17.339580+00:00,200,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9.0,100.0,1166.0,72.0,100.0,100.0,2026-08-10T07:38:17.600573+00:00,0.0
AbsaOSS,absaoss,https://www.absa.co.za,https://www.absa.co.za/personal/,2026-08-17T06:52:17.409574+00:00,200,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,737.0,71.0,10.0,10.0,2026-08-10T07:38:18.283682+00:00,0.0
Adyen,adyen,https://adyen.com,https://www.adyen.com/,2026-08-17T06:52:17.465353+00:00,200,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,56.0,550.0,47.0,56.0,56.0,2026-08-10T07:38:17.771928+00:00,0.0
CelestiaProject,celestiaproject,https://celestiaproject.space,https://celestiaproject.space/,2026-08-17T06:52:17.478429+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,527.0,29.0,0.0,0.0,2026-08-10T07:38:17.697289+00:00,0.0
ClickHouse,clickhouse,https://clickhouse.com,https://clickhouse.com/,2026-08-17T06:52:17.507054+00:00,200,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,8.0,86.0,1227.0,216.0,86.0,86.0,2026-08-10T07:38:17.561706+00:00,0.0
BLB3DPrinting,blb3dprinting,https://blb3dprinting.com,https://blb3dprinting.com/,2026-08-17T06:52:17.579607+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,413.0,29.0,0.0,0.0,2026-08-10T07:38:17.887990+00:00,0.0
Association-DataRing,association-dataring,https://www.data-ring.net,https://www.data-ring.net/,2026-08-17T06:52:17.713214+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2479.0,204.0,0.0,0.0,2026-08-10T07:38:18.115487+00:00,0.0
CCSDSPy,ccsdspy,http://ccsdspy.org,https://docs.ccsdspy.org/en/latest/,2026-08-17T06:52:17.720622+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,62.0,0.0,,,
DaedalusDock,daedalusdock,https://daedalus13.net,https://daedalus13.net/,2026-08-17T06:52:17.774392+00:00,200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,2026-08-10T07:38:18.013041+00:00,0.0
