company,github_owner,github_repo,github_url,event_date,event_text,is_funding_event,source,source_url
strapi,strapi,strapi,https://github.com/strapi/strapi,2021-09-23 00:00:00+00:00,Strapi github.com/ / $31M Series B,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
PostHog,PostHog,posthog,https://github.com/PostHog/posthog,2021-10-12 00:00:00+00:00,github.com/ /posthog $15M Series B (Y Combinator),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
n8n-io,n8n-io,n8n,https://github.com/n8n-io/n8n,2021-12-08 00:00:00+00:00,n8n github.com/ /n8n $12M Series A,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
airbytehq,airbytehq,airbyte,https://github.com/airbytehq/airbyte,2021-12-13 00:00:00+00:00,Airbyte github.com/ /airbyte $150M Series B ($1.5B valuation),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
hasura,hasura,graphql-engine,https://github.com/hasura/graphql-engine,2022-02-09 00:00:00+00:00,Hasura github.com/ /graphql-engine $100M Series C ($1B valuation),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
planetscale,planetscale,cli,https://github.com/planetscale/cli,2022-02-15 00:00:00+00:00,PlanetScale github.com/ /cli $50M Series C ($1B valuation),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
dbt-labs,dbt-labs,dbt-core,https://github.com/dbt-labs/dbt-core,2022-02-23 00:00:00+00:00,dbt Labs github.com/ /dbt-core $222M Series D ($4.2B valuation),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
apache,apache,airflow,https://github.com/apache/airflow,2022-03-23 00:00:00+00:00,Apache Airflow / Astronomer github.com/ /airflow $213M Series C (Insight),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
grafana,grafana,grafana,https://github.com/grafana/grafana,2022-04-13 00:00:00+00:00,Grafana Labs github.com/ / $240M Series D ($6B valuation),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
BuilderIO,BuilderIO,builder,https://github.com/BuilderIO/builder,2022-04-19 00:00:00+00:00,Builder.io github.com/ /builder $20M Series A,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
BuilderIO,BuilderIO,qwik,https://github.com/BuilderIO/qwik,2022-04-19 00:00:00+00:00,Builder.io / Qwik github.com/ /qwik $20M Series A,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
prisma,prisma,prisma,https://github.com/prisma/prisma,2022-04-26 00:00:00+00:00,Prisma github.com/ / $40M Series B,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
ToolJet,ToolJet,ToolJet,https://github.com/ToolJet/ToolJet,2022-05-18 00:00:00+00:00,github.com/ / $4.6M seed (Nexus Venture Partners),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
denoland,denoland,deno,https://github.com/denoland/deno,2022-06-21 00:00:00+00:00,Deno github.com/ /deno $21M Series A (Sequoia),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
getsentry,getsentry,sentry,https://github.com/getsentry/sentry,2022-07-12 00:00:00+00:00,Sentry github.com/ /sentry $90M Series E ($3B valuation),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
linear,linear,linear,https://github.com/linear/linear,2022-07-26 00:00:00+00:00,Linear github.com/ / $35M Series B,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
oven-sh,oven-sh,bun,https://github.com/oven-sh/bun,2022-08-08 00:00:00+00:00,Bun github.com/ /bun $7M seed (Kleiner Perkins),True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
dagster-io,dagster-io,dagster,https://github.com/dagster-io/dagster,2022-08-09 00:00:00+00:00,Dagster Labs github.com/ /dagster $33M Series B,True,VC Deal Flow Signal Underwriting Receipts,https://signals.gitdealflow.com/wins
