issuer_name,event_date,filing_date,sale_date,cik,accession_number,industry_group,is_equity,is_debt,offering_amount,amount_sold,investors,source,source_quarter,normalized_issuer
TUDOR BVI GLOBAL FUND LTD.,1986-11-01 00:00:00+00:00,2026-05-06 00:00:00+00:00,1986-11-01 00:00:00+00:00,0001339466,0000947871-26-000495,Pooled Investment Fund,true,,,14424949488,137,SEC Form D,2026Q2,tudor bvi global fund
"STIRLING PARTNERS, A CALIFORNIA LIMITED PARTNERSHIP",1987-01-01 00:00:00+00:00,2026-04-16 00:00:00+00:00,1987-01-01 00:00:00+00:00,0001346292,0000935836-26-000203,Pooled Investment Fund,true,,100000000.0,39994464,50,SEC Form D,2026Q2,stirling partners a california partnership
DAVIDSON KEMPNER PARTNERS,1987-04-01 00:00:00+00:00,2026-05-27 00:00:00+00:00,1987-04-01 00:00:00+00:00,0000928549,0000950142-26-001497,Pooled Investment Fund,true,,,6338972241,910,SEC Form D,2026Q2,davidson kempner partners
"TPG AG Corporate Credit Opportunities Fund, L.P.",1987-07-01 00:00:00+00:00,2026-05-08 00:00:00+00:00,1987-07-01 00:00:00+00:00,0000823845,0000823845-26-000001,Pooled Investment Fund,,,,374556822,66,SEC Form D,2026Q2,tpg ag corporate credit opportunities fund l p
"Westchester Capital Hudson Valley Partners, L.P.",1987-09-01 00:00:00+00:00,2026-04-22 00:00:00+00:00,1987-09-01 00:00:00+00:00,0000819176,0000819176-26-000001,Pooled Investment Fund,,,,71598773,42,SEC Form D,2026Q2,westchester capital hudson valley partners l p
"StocksPLUS, L.P.",1987-09-29 00:00:00+00:00,2026-06-01 00:00:00+00:00,1987-09-29 00:00:00+00:00,0001459534,0001459534-26-000001,Pooled Investment Fund,,,,5498144764,242,SEC Form D,2026Q2,stocksplus l p
AMADEUS PARTNERS L P,1988-01-22 00:00:00+00:00,2026-04-07 00:00:00+00:00,1988-01-22 00:00:00+00:00,0000829311,0000829311-26-000001,Pooled Investment Fund,true,,,57270115,105,SEC Form D,2026Q2,amadeus partners l p
"PINNACLE EQUITY FUND, L.P.",1989-02-01 00:00:00+00:00,2026-06-16 00:00:00+00:00,1989-02-01 00:00:00+00:00,0001578071,0000919574-26-003987,Pooled Investment Fund,true,,,88940860,204,SEC Form D,2026Q2,pinnacle equity fund l p
DRAKES LANDING ASSOCIATES L P,1989-06-01 00:00:00+00:00,2026-04-23 00:00:00+00:00,1989-06-01 00:00:00+00:00,0001075128,0000935836-26-000210,Pooled Investment Fund,true,,,230654011,127,SEC Form D,2026Q2,drakes landing associates l p
FULLERTON PARTNERS,1989-06-01 00:00:00+00:00,2026-04-23 00:00:00+00:00,1989-06-01 00:00:00+00:00,0000940748,0000935836-26-000211,Pooled Investment Fund,true,,200000000.0,86168722,78,SEC Form D,2026Q2,fullerton partners
Prudential Insurance Co of America Variable Contract Account GI-100,1989-09-01 00:00:00+00:00,2026-05-13 00:00:00+00:00,1989-09-01 00:00:00+00:00,0001511704,0001511704-26-000001,Pooled Investment Fund,,,,19090000000,78,SEC Form D,2026Q2,prudential insurance of america variable contract account gi 100
