company,github_owner,github_repo,event_date,snapshot_date,window_name,raised_funding_within_90d,commit_velocity_14d,commit_velocity_change,contributors,contributor_growth,new_repos_30d,signal_type
strapi,strapi,strapi,2021-09-23 00:00:00+00:00,2021-08-12 00:00:00+00:00,pre_funding_42d,1,124.0,72.2222,18.0,157.1429,0.0,Engineering hiring burst
strapi,strapi,strapi,2021-09-23 00:00:00+00:00,2021-03-27 00:00:00+00:00,control_180d,0,192.0,20.0,8.0,-61.9048,0.0,Framework migration
PostHog,PostHog,posthog,2021-10-12 00:00:00+00:00,2021-08-31 00:00:00+00:00,pre_funding_42d,1,164.0,41.3793,20.0,17.6471,0.0,Framework migration
PostHog,PostHog,posthog,2021-10-12 00:00:00+00:00,2021-04-15 00:00:00+00:00,control_180d,0,182.0,13.75,15.0,7.1429,0.0,Framework migration
n8n-io,n8n-io,n8n,2021-12-08 00:00:00+00:00,2021-10-27 00:00:00+00:00,pre_funding_42d,1,93.0,52.459,12.0,33.3333,0.0,Framework migration
n8n-io,n8n-io,n8n,2021-12-08 00:00:00+00:00,2021-06-11 00:00:00+00:00,control_180d,0,84.0,40.0,11.0,10.0,0.0,Framework migration
airbytehq,airbytehq,airbyte,2021-12-13 00:00:00+00:00,2021-11-01 00:00:00+00:00,pre_funding_42d,1,146.0,-27.0,48.0,4.3478,0.0,Framework migration
airbytehq,airbytehq,airbyte,2021-12-13 00:00:00+00:00,2021-06-16 00:00:00+00:00,control_180d,0,149.0,27.3504,38.0,58.3333,0.0,Engineering hiring burst
hasura,hasura,graphql-engine,2022-02-09 00:00:00+00:00,2021-12-29 00:00:00+00:00,pre_funding_42d,1,33.0,-32.6531,23.0,-17.8571,0.0,Framework migration
hasura,hasura,graphql-engine,2022-02-09 00:00:00+00:00,2021-08-13 00:00:00+00:00,control_180d,0,71.0,9.2308,35.0,0.0,0.0,Framework migration
planetscale,planetscale,cli,2022-02-15 00:00:00+00:00,2022-01-04 00:00:00+00:00,pre_funding_42d,1,2.0,-71.4286,2.0,0.0,0.0,Framework migration
planetscale,planetscale,cli,2022-02-15 00:00:00+00:00,2021-08-19 00:00:00+00:00,control_180d,0,39.0,44.4444,6.0,20.0,0.0,Framework migration
dbt-labs,dbt-labs,dbt-core,2022-02-23 00:00:00+00:00,2022-01-12 00:00:00+00:00,pre_funding_42d,1,8.0,-27.2727,5.0,-16.6667,0.0,Framework migration
dbt-labs,dbt-labs,dbt-core,2022-02-23 00:00:00+00:00,2021-08-27 00:00:00+00:00,control_180d,0,31.0,-65.1685,8.0,14.2857,0.0,Framework migration
apache,apache,airflow,2022-03-23 00:00:00+00:00,2022-02-09 00:00:00+00:00,pre_funding_42d,1,126.0,-2.3256,54.0,20.0,0.0,Framework migration
apache,apache,airflow,2022-03-23 00:00:00+00:00,2021-09-24 00:00:00+00:00,control_180d,0,176.0,29.4118,53.0,-15.873,0.0,Framework migration
grafana,grafana,grafana,2022-04-13 00:00:00+00:00,2022-03-02 00:00:00+00:00,pre_funding_42d,1,245.0,-18.8742,81.0,-7.9545,0.0,Framework migration
grafana,grafana,grafana,2022-04-13 00:00:00+00:00,2021-10-15 00:00:00+00:00,control_180d,0,202.0,3.5897,75.0,15.3846,0.0,Framework migration
BuilderIO,BuilderIO,builder,2022-04-19 00:00:00+00:00,2022-03-08 00:00:00+00:00,pre_funding_42d,1,150.0,-30.2326,7.0,75.0,0.0,Engineering hiring burst
BuilderIO,BuilderIO,builder,2022-04-19 00:00:00+00:00,2021-10-21 00:00:00+00:00,control_180d,0,15.0,-11.7647,4.0,-20.0,0.0,Framework migration
prisma,prisma,prisma,2022-04-26 00:00:00+00:00,2022-03-15 00:00:00+00:00,pre_funding_42d,1,0.0,0.0,0.0,0.0,0.0,Framework migration
prisma,prisma,prisma,2022-04-26 00:00:00+00:00,2021-10-28 00:00:00+00:00,control_180d,0,0.0,0.0,0.0,0.0,0.0,Framework migration
ToolJet,ToolJet,ToolJet,2022-05-18 00:00:00+00:00,2022-04-06 00:00:00+00:00,pre_funding_42d,1,71.0,10.9375,29.0,38.0952,0.0,Framework migration
ToolJet,ToolJet,ToolJet,2022-05-18 00:00:00+00:00,2021-11-19 00:00:00+00:00,control_180d,0,48.0,-40.7407,7.0,-80.5556,0.0,Framework migration
denoland,denoland,deno,2022-06-21 00:00:00+00:00,2022-05-10 00:00:00+00:00,pre_funding_42d,1,43.0,-33.8462,17.0,0.0,0.0,Framework migration
denoland,denoland,deno,2022-06-21 00:00:00+00:00,2021-12-23 00:00:00+00:00,control_180d,0,74.0,68.1818,17.0,-5.5556,0.0,Framework migration
getsentry,getsentry,sentry,2022-07-12 00:00:00+00:00,2022-05-31 00:00:00+00:00,pre_funding_42d,1,308.0,-22.6131,52.0,0.0,0.0,Framework migration
getsentry,getsentry,sentry,2022-07-12 00:00:00+00:00,2022-01-13 00:00:00+00:00,control_180d,0,198.0,69.2308,33.0,13.7931,0.0,Framework migration
linear,linear,linear,2022-07-26 00:00:00+00:00,2022-06-14 00:00:00+00:00,pre_funding_42d,1,0.0,0.0,0.0,0.0,0.0,Framework migration
linear,linear,linear,2022-07-26 00:00:00+00:00,2022-01-27 00:00:00+00:00,control_180d,0,0.0,0.0,0.0,0.0,0.0,Framework migration
oven-sh,oven-sh,bun,2022-08-08 00:00:00+00:00,2022-06-27 00:00:00+00:00,pre_funding_42d,1,81.0,153.125,2.0,0.0,0.0,Deploy frequency spike
oven-sh,oven-sh,bun,2022-08-08 00:00:00+00:00,2022-02-09 00:00:00+00:00,control_180d,0,112.0,41.7722,2.0,100.0,0.0,Engineering hiring burst
dagster-io,dagster-io,dagster,2022-08-09 00:00:00+00:00,2022-06-28 00:00:00+00:00,pre_funding_42d,1,117.0,-42.9268,21.0,-12.5,0.0,Framework migration
dagster-io,dagster-io,dagster,2022-08-09 00:00:00+00:00,2022-02-10 00:00:00+00:00,control_180d,0,103.0,1.9802,18.0,-14.2857,0.0,Framework migration
appsmithorg,appsmithorg,appsmith,2022-08-23 00:00:00+00:00,2022-07-12 00:00:00+00:00,pre_funding_42d,1,83.0,-45.7516,35.0,-5.4054,0.0,Framework migration
appsmithorg,appsmithorg,appsmith,2022-08-23 00:00:00+00:00,2022-02-24 00:00:00+00:00,control_180d,0,125.0,-12.5874,42.0,-8.6957,0.0,Framework migration
sanity-io,sanity-io,sanity,2022-09-13 00:00:00+00:00,2022-08-02 00:00:00+00:00,pre_funding_42d,1,19.0,-62.0,1.0,-83.3333,0.0,Framework migration
sanity-io,sanity-io,sanity,2022-09-13 00:00:00+00:00,2022-03-17 00:00:00+00:00,control_180d,0,90.0,718.1818,8.0,14.2857,0.0,Deploy frequency spike
withastro,withastro,astro,2022-10-13 00:00:00+00:00,2022-09-01 00:00:00+00:00,pre_funding_42d,1,148.0,-28.1553,41.0,2.5,0.0,Framework migration
withastro,withastro,astro,2022-10-13 00:00:00+00:00,2022-04-16 00:00:00+00:00,control_180d,0,222.0,11.5578,14.0,-12.5,0.0,Framework migration
CompVis,CompVis,stable-diffusion,2022-10-17 00:00:00+00:00,2022-09-05 00:00:00+00:00,pre_funding_42d,1,4.0,-73.3333,1.0,-83.3333,0.0,Framework migration
CompVis,CompVis,stable-diffusion,2022-10-17 00:00:00+00:00,2022-04-20 00:00:00+00:00,control_180d,0,0.0,0.0,0.0,0.0,0.0,Framework migration
triggerdotdev,triggerdotdev,trigger.dev,2023-03-01 00:00:00+00:00,2023-01-18 00:00:00+00:00,pre_funding_42d,1,363.0,95.1613,4.0,-20.0,0.0,Framework migration
triggerdotdev,triggerdotdev,trigger.dev,2023-03-01 00:00:00+00:00,2022-09-02 00:00:00+00:00,control_180d,0,0.0,0.0,0.0,0.0,0.0,Framework migration
inngest,inngest,inngest,2023-04-13 00:00:00+00:00,2023-03-02 00:00:00+00:00,pre_funding_42d,1,9.0,-86.1538,4.0,0.0,0.0,Framework migration
inngest,inngest,inngest,2023-04-13 00:00:00+00:00,2022-10-15 00:00:00+00:00,control_180d,0,46.0,-40.2597,3.0,0.0,0.0,Framework migration
weaviate,weaviate,weaviate,2023-04-19 00:00:00+00:00,2023-03-08 00:00:00+00:00,pre_funding_42d,1,180.0,28.5714,16.0,-5.8824,0.0,Framework migration
weaviate,weaviate,weaviate,2023-04-19 00:00:00+00:00,2022-10-21 00:00:00+00:00,control_180d,0,98.0,-36.3636,10.0,0.0,0.0,Framework migration
mage-ai,mage-ai,mage-ai,2023-04-25 00:00:00+00:00,2023-03-14 00:00:00+00:00,pre_funding_42d,1,126.0,0.8,10.0,66.6667,0.0,Engineering hiring burst
mage-ai,mage-ai,mage-ai,2023-04-25 00:00:00+00:00,2022-10-27 00:00:00+00:00,control_180d,0,129.0,30.303,7.0,16.6667,0.0,Framework migration
replit,replit,replit-py,2023-04-25 00:00:00+00:00,2023-03-14 00:00:00+00:00,pre_funding_42d,1,0.0,0.0,0.0,0.0,0.0,Framework migration
replit,replit,replit-py,2023-04-25 00:00:00+00:00,2022-10-27 00:00:00+00:00,control_180d,0,1.0,999.0,1.0,999.0,0.0,Engineering hiring burst
neondatabase,neondatabase,neon,2023-08-15 00:00:00+00:00,2023-07-04 00:00:00+00:00,pre_funding_42d,1,51.0,-16.3934,16.0,0.0,0.0,Framework migration
neondatabase,neondatabase,neon,2023-08-15 00:00:00+00:00,2023-02-16 00:00:00+00:00,control_180d,0,49.0,-33.7838,15.0,-6.25,0.0,Framework migration
huggingface,huggingface,diffusers,2023-08-24 00:00:00+00:00,2023-07-13 00:00:00+00:00,pre_funding_42d,1,64.0,72.973,27.0,28.5714,0.0,Framework migration
