name,startup_key,website_url,status,detail
Balatro-Multiplayer,balatro-multiplayer,,no_website,
CarbonScribe,carbonscribe,,no_website,
Cla-Code-Community,cla-code-community,,no_website,
Black-Tek,black-tek,,no_website,
AleksNeStu,aleksnestu,,no_website,
7-Blocks,7-blocks,,no_website,
3D-Vision-World,3d-vision-world,,no_website,
BuilderIO,builderio,https://builder.io,ok,https://www.builder.io/
ChainSafe,chainsafe,https://chainsafe.io,ok,https://chainsafe.io/
CelestiaProject,celestiaproject,https://celestiaproject.space,ok,https://celestiaproject.space/
ClickHouse,clickhouse,https://clickhouse.com,ok,https://clickhouse.com/
Adyen,adyen,https://adyen.com,ok,https://www.adyen.com/
ConduitIO,conduitio,https://conduit.io,error,"HTTPSConnectionPool(host='conduit.io', port=443): Max retries exceeded with url: / (Caused by NewConnectionError(""HTTPSConnection(host='conduit.io', port=443): Failed to establish a new connection: [Errno 111] Connection refused""))"
BLB3DPrinting,blb3dprinting,https://blb3dprinting.com,ok,https://blb3dprinting.com/
CCSDSPy,ccsdspy,http://ccsdspy.org,ok,https://docs.ccsdspy.org/en/latest/
DaedalusDock,daedalusdock,https://daedalus13.net,ok,https://daedalus13.net/
AdguardTeam,adguardteam,https://adguard.com,ok,https://adguard.com/en/welcome.html
BIRU-Scop,biru-scop,https://biru.sh,ok,https://biru.sh/en/
EBWiki,ebwiki,,no_website,
Association-DataRing,association-dataring,https://www.data-ring.net,ok,https://www.data-ring.net/
CosmWasm,cosmwasm,https://cosmwasm.com,ok,https://cosmwasm.com/
Fields2Cover,fields2cover,,no_website,
Flexxbotics,flexxbotics,,no_website,
DimensionDev,dimensiondev,https://dimension.im,error,"HTTPSConnectionPool(host='dimension.im', port=443): Max retries exceeded with url: / (Caused by NameResolutionError(""HTTPSConnection(host='dimension.im', port=443): Failed to resolve 'dimension.im' ([Errno -2] Name or service not known)""))"
FreedomIntelligence,freedomintelligence,,no_website,
DataSQRL,datasqrl,http://www.datasqrl.com,ok,https://www.datasqrl.com/
DSACMS,dsacms,https://cms.gov/digital-service/open-source-program-office,ok,https://www.cms.gov/digital-service/open-source-program-office
Far-Beyond-Pulsar,far-beyond-pulsar,https://pulsarnative.com,ok,https://pulsarnative.com/
GetStream,getstream,https://getstream.io,ok,https://getstream.io/
HasteHealth,hastehealth,,no_website,
Epic-Breakfast-Productions,epic-breakfast-productions,http://epic-breakfast-productions.tech,ok,https://epic-breakfast-productions.tech/
FyroxEngine,fyroxengine,https://fyrox.rs,ok,https://fyrox.rs/
Grashjs,grashjs,https://atlas-cmms.com,ok,https://atlas-cmms.com/
AbsaOSS,absaoss,https://www.absa.co.za,ok,https://www.absa.co.za/personal/
InvadingOctopus,invadingoctopus,,no_website,
Consensys,consensys,https://www.consensys.io,ok,https://consensys.io/
HeliosSoftware,heliossoftware,https://heliossoftware.com,ok,https://heliossoftware.com/
KyrptonaughtMC,kyrptonaughtmc,,no_website,
L5lua,l5lua,https://l5lua.org,ok,https://l5lua.org/
ARPA-SIMC,arpa-simc,https://www.arpae.it/it/temi-ambientali/meteo/cosa-fa-arpae-meteo,ok,https://www.arpae.it/it/temi-ambientali/meteo/cosa-fa-arpae-meteo
