signal_name,signal_variants,candidate_rank,candidate_issuer,normalized_candidate,similarity,matched_variant,filing_count,first_event,last_event
airbytehq,airbyte | airbytehq,1.0,"Airobes, LLC",airobes,0.7143,airbyte,1.0,2025-09-12 00:00:00+00:00,2025-09-12 00:00:00+00:00
airbytehq,airbyte | airbytehq,2.0,AirTM Inc,airtm,0.6667,airbyte,1.0,2025-12-23 00:00:00+00:00,2025-12-23 00:00:00+00:00
airbytehq,airbyte | airbytehq,3.0,"AIRE 204, LLC",aire 204,0.5333,airbyte,1.0,2025-09-05 00:00:00+00:00,2025-09-05 00:00:00+00:00
airbytehq,airbyte | airbytehq,4.0,AirTap AI Inc.,airtap ai,0.5,airbyte,1.0,2025-09-04 00:00:00+00:00,2025-09-04 00:00:00+00:00
airbytehq,airbyte | airbytehq,5.0,"Airbase Intelligence, Inc.",airbase intelligence,0.4444,airbyte,1.0,2025-10-07 00:00:00+00:00,2025-10-07 00:00:00+00:00
akto-api-security,akto api security | aktoapisecurity,,,,,,,,
andes,andes,1.0,ANDERSEN CORP,andersen,0.7692,andes,1.0,2026-02-24 00:00:00+00:00,2026-02-24 00:00:00+00:00
andes,andes,2.0,"Andel Co-op, Inc.",andel op,0.6154,andes,1.0,2025-08-22 00:00:00+00:00,2025-08-22 00:00:00+00:00
andes,andes,3.0,AndHealth LLC,andhealth,0.5714,andes,1.0,2025-08-04 00:00:00+00:00,2025-08-04 00:00:00+00:00
andes,andes,4.0,Andium Inc.,andium,0.5455,andes,1.0,2025-09-30 00:00:00+00:00,2025-09-30 00:00:00+00:00
andes,andes,5.0,Andus Labs LLC,andus labs,0.5333,andes,1.0,2025-05-09 00:00:00+00:00,2025-05-09 00:00:00+00:00
atrocore,atrocore,1.0,Atropos Group Inc.,atropos group,0.5714,atrocore,1.0,2025-07-10 00:00:00+00:00,2025-07-10 00:00:00+00:00
atrocore,atrocore,2.0,Atreon Orthopedics LLC,atreon orthopedics,0.5385,atrocore,2.0,2022-10-06 00:00:00+00:00,2022-10-06 00:00:00+00:00
atrocore,atrocore,3.0,"Atrum Ventures 6, LP",atrum ventures 6,0.4167,atrocore,1.0,2025-10-31 00:00:00+00:00,2025-10-31 00:00:00+00:00
atrocore,atrocore,4.0,Atrum Ventures 8 LLC,atrum ventures 8,0.4167,atrocore,1.0,2025-10-31 00:00:00+00:00,2025-10-31 00:00:00+00:00
atrocore,atrocore,5.0,"Atreides Low Net Fund, LP",atreides low net fund,0.3448,atrocore,1.0,2026-01-01 00:00:00+00:00,2026-01-01 00:00:00+00:00
bagisto,bagisto,1.0,Bagels & Co.,bagels and,0.4706,bagisto,1.0,2025-12-22 00:00:00+00:00,2025-12-22 00:00:00+00:00
bagisto,bagisto,2.0,BAGH-B LLC,bagh b,0.4615,bagisto,1.0,2019-03-15 00:00:00+00:00,2019-03-15 00:00:00+00:00
bagisto,bagisto,3.0,"BAG Ventures Fund I, LP",bag ventures fund i,0.3077,bagisto,1.0,2024-07-19 00:00:00+00:00,2024-07-19 00:00:00+00:00
bagisto,bagisto,4.0,BAG Q2 Deal 1 a Series of CGF2021 LLC,bag q2 deal 1 a series of cgf2021,0.3,bagisto,1.0,2026-06-10 00:00:00+00:00,2026-06-10 00:00:00+00:00
bagisto,bagisto,5.0,"BAG Ventures Fund I-A, LP",bag ventures fund i a,0.2857,bagisto,1.0,2024-07-19 00:00:00+00:00,2024-07-19 00:00:00+00:00
bakaphp,bakaphp,1.0,"Bakay Capital Fund, L.P.",bakay capital fund l p,0.4138,bakaphp,1.0,2020-06-30 00:00:00+00:00,2020-06-30 00:00:00+00:00
bakaphp,bakaphp,2.0,"Bakkt Holdings, Inc.",bakkt holdings,0.381,bakaphp,1.0,2025-06-18 00:00:00+00:00,2025-06-18 00:00:00+00:00
bakaphp,bakaphp,3.0,"Baker Tower Holdings, LLC",baker tower holdings,0.2963,bakaphp,1.0,2025-09-15 00:00:00+00:00,2025-09-15 00:00:00+00:00
bakaphp,bakaphp,4.0,Bakery Block Associates LLC,bakery block associates,0.2667,bakaphp,1.0,2024-01-24 00:00:00+00:00,2024-01-24 00:00:00+00:00
bakaphp,bakaphp,5.0,Baker Brothers Life Sciences LP,baker brothers life sciences,0.2286,bakaphp,1.0,2025-10-14 00:00:00+00:00,2025-10-14 00:00:00+00:00
ballerina-platform,ballerina platform | ballerinaplatform,1.0,Ballers OpCo LLC,ballers opco,0.6,ballerina platform,1.0,2025-01-31 00:00:00+00:00,2025-01-31 00:00:00+00:00
ballerina-platform,ballerina platform | ballerinaplatform,2.0,BALLAPPART LTD,ballappart,0.5926,ballerinaplatform,2.0,2025-05-27 00:00:00+00:00,2025-05-27 00:00:00+00:00
ballerina-platform,ballerina platform | ballerinaplatform,3.0,Balanced Pharma Inc,balanced pharma,0.5455,ballerina platform,1.0,2024-11-27 00:00:00+00:00,2024-11-27 00:00:00+00:00
ballerina-platform,ballerina platform | ballerinaplatform,4.0,"Ballston Spa Bancorp, Inc.",ballston spa bancorp,0.5263,ballerina platform,1.0,2026-03-25 00:00:00+00:00,2026-03-25 00:00:00+00:00
ballerina-platform,ballerina platform | ballerinaplatform,5.0,Balance Theory Inc.,balance theory,0.5,ballerina platform,1.0,2025-04-25 00:00:00+00:00,2025-04-25 00:00:00+00:00
betagouv,betagouv,1.0,Betaar LLC,betaar,0.5714,betagouv,1.0,2024-08-26 00:00:00+00:00,2024-08-26 00:00:00+00:00
betagouv,betagouv,2.0,BetHog Inc.,bethog,0.5714,betagouv,1.0,2025-11-24 00:00:00+00:00,2025-11-24 00:00:00+00:00
betagouv,betagouv,3.0,Bettar Inc,bettar,0.5714,betagouv,1.0,2024-04-18 00:00:00+00:00,2024-04-18 00:00:00+00:00
betagouv,betagouv,4.0,"Beta AIV-S, LP",beta aiv s,0.5556,betagouv,1.0,2024-01-02 00:00:00+00:00,2024-01-02 00:00:00+00:00
