github_owner,github_repo,event_date,window_name,status,detail
strapi,strapi,2021-09-23 00:00:00+00:00,pre_funding_42d,ok,
strapi,strapi,2021-09-23 00:00:00+00:00,control_180d,ok,
PostHog,posthog,2021-10-12 00:00:00+00:00,pre_funding_42d,ok,
PostHog,posthog,2021-10-12 00:00:00+00:00,control_180d,ok,
n8n-io,n8n,2021-12-08 00:00:00+00:00,pre_funding_42d,ok,
n8n-io,n8n,2021-12-08 00:00:00+00:00,control_180d,ok,
airbytehq,airbyte,2021-12-13 00:00:00+00:00,pre_funding_42d,ok,
airbytehq,airbyte,2021-12-13 00:00:00+00:00,control_180d,ok,
hasura,graphql-engine,2022-02-09 00:00:00+00:00,pre_funding_42d,ok,
hasura,graphql-engine,2022-02-09 00:00:00+00:00,control_180d,ok,
planetscale,cli,2022-02-15 00:00:00+00:00,pre_funding_42d,ok,
planetscale,cli,2022-02-15 00:00:00+00:00,control_180d,ok,
dbt-labs,dbt-core,2022-02-23 00:00:00+00:00,pre_funding_42d,ok,
dbt-labs,dbt-core,2022-02-23 00:00:00+00:00,control_180d,ok,
apache,airflow,2022-03-23 00:00:00+00:00,pre_funding_42d,ok,
apache,airflow,2022-03-23 00:00:00+00:00,control_180d,ok,
grafana,grafana,2022-04-13 00:00:00+00:00,pre_funding_42d,ok,
grafana,grafana,2022-04-13 00:00:00+00:00,control_180d,ok,
BuilderIO,builder,2022-04-19 00:00:00+00:00,pre_funding_42d,ok,
BuilderIO,builder,2022-04-19 00:00:00+00:00,control_180d,ok,
prisma,prisma,2022-04-26 00:00:00+00:00,pre_funding_42d,ok,
prisma,prisma,2022-04-26 00:00:00+00:00,control_180d,ok,
ToolJet,ToolJet,2022-05-18 00:00:00+00:00,pre_funding_42d,ok,
ToolJet,ToolJet,2022-05-18 00:00:00+00:00,control_180d,ok,
denoland,deno,2022-06-21 00:00:00+00:00,pre_funding_42d,ok,
denoland,deno,2022-06-21 00:00:00+00:00,control_180d,ok,
getsentry,sentry,2022-07-12 00:00:00+00:00,pre_funding_42d,ok,
getsentry,sentry,2022-07-12 00:00:00+00:00,control_180d,ok,
linear,linear,2022-07-26 00:00:00+00:00,pre_funding_42d,ok,
linear,linear,2022-07-26 00:00:00+00:00,control_180d,ok,
oven-sh,bun,2022-08-08 00:00:00+00:00,pre_funding_42d,ok,
oven-sh,bun,2022-08-08 00:00:00+00:00,control_180d,ok,
dagster-io,dagster,2022-08-09 00:00:00+00:00,pre_funding_42d,ok,
dagster-io,dagster,2022-08-09 00:00:00+00:00,control_180d,ok,
appsmithorg,appsmith,2022-08-23 00:00:00+00:00,pre_funding_42d,ok,
appsmithorg,appsmith,2022-08-23 00:00:00+00:00,control_180d,ok,
sanity-io,sanity,2022-09-13 00:00:00+00:00,pre_funding_42d,ok,
sanity-io,sanity,2022-09-13 00:00:00+00:00,control_180d,ok,
withastro,astro,2022-10-13 00:00:00+00:00,pre_funding_42d,ok,
withastro,astro,2022-10-13 00:00:00+00:00,control_180d,ok,
CompVis,stable-diffusion,2022-10-17 00:00:00+00:00,pre_funding_42d,ok,
CompVis,stable-diffusion,2022-10-17 00:00:00+00:00,control_180d,ok,
triggerdotdev,trigger.dev,2023-03-01 00:00:00+00:00,pre_funding_42d,ok,
triggerdotdev,trigger.dev,2023-03-01 00:00:00+00:00,control_180d,ok,
inngest,inngest,2023-04-13 00:00:00+00:00,pre_funding_42d,ok,
inngest,inngest,2023-04-13 00:00:00+00:00,control_180d,ok,
weaviate,weaviate,2023-04-19 00:00:00+00:00,pre_funding_42d,ok,
weaviate,weaviate,2023-04-19 00:00:00+00:00,control_180d,ok,
mage-ai,mage-ai,2023-04-25 00:00:00+00:00,pre_funding_42d,ok,
mage-ai,mage-ai,2023-04-25 00:00:00+00:00,control_180d,ok,
replit,replit-py,2023-04-25 00:00:00+00:00,pre_funding_42d,ok,
replit,replit-py,2023-04-25 00:00:00+00:00,control_180d,ok,
neondatabase,neon,2023-08-15 00:00:00+00:00,pre_funding_42d,ok,
neondatabase,neon,2023-08-15 00:00:00+00:00,control_180d,ok,
huggingface,diffusers,2023-08-24 00:00:00+00:00,pre_funding_42d,ok,
huggingface,diffusers,2023-08-24 00:00:00+00:00,control_180d,ok,
mistralai,mistral-src,2023-12-11 00:00:00+00:00,pre_funding_42d,ok,
mistralai,mistral-src,2023-12-11 00:00:00+00:00,control_180d,ok,
qdrant,qdrant,2024-01-23 00:00:00+00:00,pre_funding_42d,ok,
qdrant,qdrant,2024-01-23 00:00:00+00:00,control_180d,ok,
tursodatabase,libsql,2024-02-01 00:00:00+00:00,pre_funding_42d,ok,
tursodatabase,libsql,2024-02-01 00:00:00+00:00,control_180d,ok,
langchain-ai,langchain,2024-02-15 00:00:00+00:00,pre_funding_42d,ok,
langchain-ai,langchain,2024-02-15 00:00:00+00:00,control_180d,ok,
togethercomputer,RedPajama-Data,2024-03-13 00:00:00+00:00,pre_funding_42d,ok,
togethercomputer,RedPajama-Data,2024-03-13 00:00:00+00:00,control_180d,ok,
AppFlowy-IO,AppFlowy,2024-04-01 00:00:00+00:00,pre_funding_42d,ok,
AppFlowy-IO,AppFlowy,2024-04-01 00:00:00+00:00,control_180d,ok,
clerk,javascript,2024-04-09 00:00:00+00:00,pre_funding_42d,ok,
clerk,javascript,2024-04-09 00:00:00+00:00,control_180d,ok,
supabase,supabase,2024-04-15 00:00:00+00:00,pre_funding_42d,ok,
supabase,supabase,2024-04-15 00:00:00+00:00,control_180d,ok,
replicate,replicate-python,2024-04-22 00:00:00+00:00,pre_funding_42d,ok,
replicate,replicate-python,2024-04-22 00:00:00+00:00,control_180d,ok,
get-convex,convex-backend,2024-04-30 00:00:00+00:00,pre_funding_42d,ok,
get-convex,convex-backend,2024-04-30 00:00:00+00:00,control_180d,ok,
pinecone-io,pinecone-python-client,2024-05-02 00:00:00+00:00,pre_funding_42d,ok,
pinecone-io,pinecone-python-client,2024-05-02 00:00:00+00:00,control_180d,ok,
vercel,ai,2024-05-16 00:00:00+00:00,pre_funding_42d,ok,
vercel,ai,2024-05-16 00:00:00+00:00,control_180d,ok,
BerriAI,litellm,2024-07-15 00:00:00+00:00,pre_funding_42d,ok,
BerriAI,litellm,2024-07-15 00:00:00+00:00,control_180d,ok,
groq,groq-python,2024-08-05 00:00:00+00:00,pre_funding_42d,ok,
groq,groq-python,2024-08-05 00:00:00+00:00,control_180d,ok,
resend,react-email,2024-08-13 00:00:00+00:00,pre_funding_42d,ok,
resend,react-email,2024-08-13 00:00:00+00:00,control_180d,ok,
modal-labs,modal-client,2024-09-04 00:00:00+00:00,pre_funding_42d,ok,
modal-labs,modal-client,2024-09-04 00:00:00+00:00,control_180d,ok,
calcom,cal.com,2024-09-17 00:00:00+00:00,pre_funding_42d,ok,
calcom,cal.com,2024-09-17 00:00:00+00:00,control_180d,ok,
getcursor,cursor,2024-12-19 00:00:00+00:00,pre_funding_42d,ok,
getcursor,cursor,2024-12-19 00:00:00+00:00,control_180d,ok,
comfyanonymous,ComfyUI,2025-01-08 00:00:00+00:00,pre_funding_42d,ok,
comfyanonymous,ComfyUI,2025-01-08 00:00:00+00:00,control_180d,ok,
anthropics,anthropic-sdk-python,2025-03-04 00:00:00+00:00,pre_funding_42d,ok,
anthropics,anthropic-sdk-python,2025-03-04 00:00:00+00:00,control_180d,ok,
